"","year","donor","recipient","aiddata_sector_name","crs_sector_name","commitment_amount_usd_constant"
"1073645",2010,"Organization for Security and Co-operation in Europe (OSCE)","Croatia","Other","IV.2. Other Multisector",644576
"1073651",2010,"Organization for Security and Co-operation in Europe (OSCE)","Croatia","Other","IV.2. Other Multisector",324856
"1073660",2010,"Organization for Security and Co-operation in Europe (OSCE)","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",193886
"1073669",2010,"Organization for Security and Co-operation in Europe (OSCE)","Croatia","Other","IV.2. Other Multisector",318436
"1073678",2010,"Organization for Security and Co-operation in Europe (OSCE)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",445553
"1074336",2010,"Joint United Nations Programme on HIV/AIDS (UNAIDS)","Croatia","POPULATION POLICIES/ PROGRAMMES AND REPRODUCTIVE HEALTH","I.3. Population Pol./Progr. & Reproductive Health",79887
"1074909",2010,"Austria","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",32745
"1074919",2010,"Austria","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",24138
"1075146",2010,"Portugal","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",3499
"1075156",2010,"Portugal","Croatia","","I.1.d. Post-Secondary Education",16529
"1075165",2010,"Portugal","Croatia","OTHER SOCIAL INFRASTRUCTURE AND SERVICES","I.6. Other Social Infrastructure & Services",12876
"1076069",2010,"Austria","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",92007
"1126056",2004,"Norway","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",62593
"1126820",2005,"France","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",28775
"1127397",2003,"Switzerland","Croatia","Other social infrastructure and services","III.1.a. Agriculture",23391
"1127398",2008,"Germany","Croatia","","I.1.a. Education, Level Unspecified",123865
"1127425",2005,"Portugal","Croatia","Education, level unspecified","I.1.d. Post-Secondary Education",44592
"1127582",1999,"Germany","Croatia","","III.3.a. Trade Policies & Regulations",220523
"1128002",2000,"Belgium","Croatia","Energy generation and supply","II.3. Energy",15529
"1128012",2006,"United Nations Development Programme (UNDP)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",283507
"1128506",2002,"Sweden","Croatia","Basic health","I.2.b. Basic Health",148808
"1128673",2004,"Sweden","Croatia","Other social infrastructure and services","I.5.a. Government & Civil Society-general",558635
"1129159",1997,"Sweden","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",191333
"1129212",2007,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",5838809
"1129463",2007,"Germany","Croatia","Secondary education","I.1.c. Secondary Education",1081823
"1129630",2008,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",71509
"1129773",2004,"Switzerland","Croatia","Emergency response","VIII.1. Emergency Response",1221
"1130164",2005,"France","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",11590
"1130944",2008,"United States","Croatia","Other","IV.2. Other Multisector",4737
"1131528",2005,"France","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",28297
"1131572",2004,"European Communities (EC)","Croatia","Emergency response","VIII.2. Reconstruction Relief & Rehabilitation",21681128
"1132147",2008,"Greece","Croatia","Post-secondary education","IV.2. Other Multisector",9870
"1132436",2008,"Sweden","Croatia","Government and civil society, general","I.5.b. Conflict, Peace & Security",29963
"1132508",2006,"Japan","Croatia","Unallocated/  unspecified","IV.1. General Environment Protection",17768
"1132755",2003,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",44770
"1132842",2000,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1390861
"1133046",2005,"Germany","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",5646
"1133400",2006,"European Communities (EC)","Croatia","Transport and storage","II.1. Transport & Storage",719777
"1133456",2006,"Germany","Croatia","","I.1.d. Post-Secondary Education",549
"1134173",2005,"France","Croatia","Other","IV.2. Other Multisector",38530
"1134442",2001,"Norway","Croatia","Agriculture","III.1.a. Agriculture",273436
"1134472",2008,"Switzerland","Croatia","Government and civil society, general","I.6. Other Social Infrastructure & Services",6786
"1134913",2007,"United States","Croatia","","II.3. Energy",21411
"1135177",1998,"Austria","Croatia","","I.1.d. Post-Secondary Education",24337
"1136129",2005,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",23488
"1136174",1998,"France","Croatia","","II.2. Communications",16569
"1136489",2007,"Austria","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",52591
"1136508",2005,"Portugal","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",86
"1136780",2002,"Austria","Croatia","Emergency response","VIII.1. Emergency Response",813182
"1136933",2000,"Finland","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",98898
"1137002",2005,"Austria","Croatia","Tourism","III.3.b. Tourism",10276
"1137005",2004,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",235042
"1137427",2004,"Japan","Croatia","Transport and storage","I.1.a. Education, Level Unspecified",1128
"1137613",2008,"Portugal","Croatia","OTHER SOCIAL INFRASTRUCTURE AND SERVICES","I.6. Other Social Infrastructure & Services",10277
"1138309",2004,"Germany","Croatia","Unallocated/  unspecified","II.4. Banking & Financial Services",143880
"1138335",2006,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",97120
"1138358",2002,"Austria","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",64908
"1138521",2007,"Greece","Croatia","Other","IV.2. Other Multisector",10047
"1138595",1999,"Austria","Croatia","Unallocated/  unspecified","VIII.1. Emergency Response",3693
"1138608",2001,"United States","Croatia","Industry","III.2.a. Industry",107452
"1138641",2008,"Japan","Croatia","","X. Support to NGO's",890971
"1138927",1999,"Austria","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",3664571
"1139887",2006,"France","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",1191935
"1139904",2001,"Italy","Croatia","Industry","III.2.a. Industry",157044
"1140767",2003,"Spain","Croatia","General budget support","I.6. Other Social Infrastructure & Services",73125
"1140860",2004,"Italy","Croatia","Support to non- governmental organisations (ngos) and government organizations","X. Support to NGO's",816
"1141141",2007,"United States","Croatia","Agriculture","III.1.a. Agriculture",6630
"1141386",1996,"European Communities (EC)","Croatia","Emergency response","VIII.1. Emergency Response",75199
"1142045",2006,"Sweden","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",8593
"1142168",2008,"European Communities (EC)","Croatia","Other","IV.2. Other Multisector",724870
"1142384",2007,"United Nations Children`s Fund (UNICEF)","Croatia","Other","IV.2. Other Multisector",283060
"1143720",2003,"Netherlands","Croatia","Government and civil society, general","I.6. Other Social Infrastructure & Services",363301
"1145300",2007,"Greece","Croatia","","I.5.b. Conflict, Peace & Security",32622
"1145328",1996,"Sweden","Croatia","Conflict prevention and resolution, peace and security","I.5.a. Government & Civil Society-general",24503
"1145620",1995,"Italy","Croatia","","VIII.1. Emergency Response",106065
"1145773",1995,"Sweden","Croatia","Emergency response","VIII.1. Emergency Response",68395
"1145804",2002,"Norway","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",4217347
"1146560",2006,"United States","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",6589
"1146661",2006,"United States","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",13177
"1148192",2005,"France","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",38530
"1148319",2002,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",101950
"1148395",2005,"Switzerland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",6089
"1148804",2002,"Germany","Croatia","","I.1.a. Education, Level Unspecified",1104
"1149044",2001,"United States","Croatia","Basic education","I.1.b. Basic Education",374833
"1149392",2005,"France","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",19419
"1149541",2000,"Italy","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",14984
"1150295",2004,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",518368
"1150508",2000,"Austria","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",87971
"1150602",2004,"United States","Croatia","Energy generation and supply","II.3. Energy",536426
"1150664",2005,"Austria","Croatia","Unallocated/  unspecified","I.1.a. Education, Level Unspecified",4808
"1150946",2003,"Greece","Croatia","Other","IV.2. Other Multisector",2281
"1151285",2005,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",7004429
"1151428",2000,"Italy","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",13880
"1151532",2000,"United States","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",3870088
"1151675",1996,"Canada","Croatia","Transport and storage","II.1. Transport & Storage",70134
"1152228",2003,"France","Croatia","Secondary education","I.1.c. Secondary Education",69030
"1152645",2004,"Norway","Croatia","Fishing","III.1.c. Fishing",11595
"1152871",2001,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1561806
"1153358",2007,"United States","Croatia","Agriculture","III.1.a. Agriculture",529045
"1153666",2003,"Norway","Croatia","Emergency response","XI. Refugees in Donor Countries",535119
"1154086",2000,"United Kingdom","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",207827
"1154383",1999,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",836850
"1154910",1998,"United States","Croatia","Other","IV.2. Other Multisector",1240829
"1155298",2008,"France","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",707156
"1155373",1996,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",14982
"1155477",1997,"Belgium","Croatia","Emergency response","VIII.1. Emergency Response",539439
"1156318",2000,"Austria","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",63954
"1156561",2005,"Norway","Croatia","Emergency response","VIII.1. Emergency Response",117260
"1156896",2000,"Netherlands","Croatia","Agriculture","III.1.a. Agriculture",1189347
"1157447",1998,"Sweden","Croatia","","I.2.a. Health, General",59135
"1158403",2004,"Germany","Croatia","Conflict prevention and resolution, peace and security","I.5.a. Government & Civil Society-general",99136
"1158419",2006,"Germany","Croatia","Other social infrastructure and services","I.5.a. Government & Civil Society-general",43246
